incident_id,incident_name,corrupted_asset_id,cve_id,description,implications,critical,cve_description,base_score,base_severity,attack_vector,attack_complexity,privileges_required,user_interaction,exploitability_score,impact_score,weakness_type,weakness_description,configuration_vulnerable,confidentiality,integrity,availability,,,,
1,Unauthorized Access to Critical Vehicle Functions,0,CVE-2024-51074,"An attacker gains unauthorized access to the FZS Steuergerät, potentially allowing them to manipulate the sensor data used for determining the current state of vehicle movement. This could lead to misrepresentation of the movement of the vehicle state and unsafe driving behavior.",,0,"Incorrect access control in KIA Seltos vehicle instrument cluster with software and hardware v1.0 allows attackers to arbitrarily change odometer readings in the vehicle by targeting the instrument cluster through the unsecured CAN network. NOTE: this is disputed by the supplier because the CAN bus is not externally exposed, and because the packets can only increase the odometer reading (which typically has no value to an adversary). Also, this is disputed by the Supplier because the findings came from a potentially unrealistic test environment (an isolated ECU part that was not in a vehicle), and because the observed behavior follows the UDS (Unified Diagnostic Services) specification.",6.7,MEDIUM,PHYSICAL,LOW,NONE,NONE,0.9,5.3,Unknown,No description available,False,1,1,1,,,,
2,Sensor Data Integrity Attack or Spoofing,0,CVE-2019-18618,"Attackers compromise the sensor data fed into the FZS Steuergerät, such as manipulating the measurements from IMUs, GNSS, or odometry sensors, leading to false calculations of vehicle dynamics.","Inaccurate or deceptive vehicle state information could lead to incorrect decisions on vehicle control, affecting vehicle stability or causing erratic behavior.",0,Incorrect access control in the firmware of Synaptics VFS75xx family fingerprint sensors that include external flash (all versions prior to 2019-11-15) allows a local administrator or physical attacker to compromise the confidentiality of sensor data via injection of an unverified partition table.,6,MEDIUM,LOCAL,LOW,HIGH,NONE,0.8,5.2,Primary,NVD-CWE-noinfo,True,1,1,0,,,,
2,Sensor Data Integrity Attack or Spoofing,0,CVE-2019-18618,"Attackers compromise the sensor data fed into the FZS Steuergerät, such as manipulating the measurements from IMUs, GNSS, or odometry sensors, leading to false calculations of vehicle dynamics.","Inaccurate or deceptive vehicle state information could lead to incorrect decisions on vehicle control, affecting vehicle stability or causing erratic behavior.",0,Incorrect access control in the firmware of Synaptics VFS75xx family fingerprint sensors that include external flash (all versions prior to 2019-11-15) allows a local administrator or physical attacker to compromise the confidentiality of sensor data via injection of an unverified partition table.,6,MEDIUM,LOCAL,LOW,HIGH,NONE,0.8,5.2,Primary,NVD-CWE-noinfo,True,1,1,0,,,,
2,Sensor Data Integrity Attack or Spoofing,0,CVE-2019-18618,"Attackers compromise the sensor data fed into the FZS Steuergerät, such as manipulating the measurements from IMUs, GNSS, or odometry sensors, leading to false calculations of vehicle dynamics.","Inaccurate or deceptive vehicle state information could lead to incorrect decisions on vehicle control, affecting vehicle stability or causing erratic behavior.",0,Incorrect access control in the firmware of Synaptics VFS75xx family fingerprint sensors that include external flash (all versions prior to 2019-11-15) allows a local administrator or physical attacker to compromise the confidentiality of sensor data via injection of an unverified partition table.,6,MEDIUM,LOCAL,LOW,HIGH,NONE,0.8,5.2,Primary,NVD-CWE-noinfo,True,1,1,0,,,,
2,Sensor Data Integrity Attack or Spoofing,0,CVE-2019-18618,"Attackers compromise the sensor data fed into the FZS Steuergerät, such as manipulating the measurements from IMUs, GNSS, or odometry sensors, leading to false calculations of vehicle dynamics.","Inaccurate or deceptive vehicle state information could lead to incorrect decisions on vehicle control, affecting vehicle stability or causing erratic behavior.",0,Incorrect access control in the firmware of Synaptics VFS75xx family fingerprint sensors that include external flash (all versions prior to 2019-11-15) allows a local administrator or physical attacker to compromise the confidentiality of sensor data via injection of an unverified partition table.,6,MEDIUM,LOCAL,LOW,HIGH,NONE,0.8,5.2,Primary,NVD-CWE-noinfo,True,1,1,0,,,,
2,Sensor Data Integrity Attack or Spoofing,0,CVE-2019-18618,"Attackers compromise the sensor data fed into the FZS Steuergerät, such as manipulating the measurements from IMUs, GNSS, or odometry sensors, leading to false calculations of vehicle dynamics.","Inaccurate or deceptive vehicle state information could lead to incorrect decisions on vehicle control, affecting vehicle stability or causing erratic behavior.",0,Incorrect access control in the firmware of Synaptics VFS75xx family fingerprint sensors that include external flash (all versions prior to 2019-11-15) allows a local administrator or physical attacker to compromise the confidentiality of sensor data via injection of an unverified partition table.,6,MEDIUM,LOCAL,LOW,HIGH,NONE,0.8,5.2,Primary,NVD-CWE-noinfo,True,1,1,0,,,,
3,Denial of Service (DoS) Attack on Vehicle Control Systems,0,CVE-2023-39076,"A denial-of-service attack that disrupts the ability of the ECU to process the sensor data or output valid vehicle control signals, leading to the failure of the FZS Steuergerät to function correctly.","Loss of availability of critical vehicle control data, which could impair decision-making about vehicle dynamics.",0,Injecting random data into the USB memory area on a General Motors (GM) Chevrolet Equinox 2021 Software. 2021.03.26 (build version) vehicle causes a Denial of Service (DoS) in the in-car infotainment system.,4.6,MEDIUM,PHYSICAL,LOW,NONE,NONE,0.9,3.6,Primary,NVD-CWE-noinfo,True,0,0,1,,,,
3,Denial of Service (DoS) Attack on Vehicle Control Systems,0,CVE-2023-39076,"A denial-of-service attack that disrupts the ability of the ECU to process the sensor data or output valid vehicle control signals, leading to the failure of the FZS Steuergerät to function correctly.","Loss of availability of critical vehicle control data, which could impair decision-making about vehicle dynamics.",0,Injecting random data into the USB memory area on a General Motors (GM) Chevrolet Equinox 2021 Software. 2021.03.26 (build version) vehicle causes a Denial of Service (DoS) in the in-car infotainment system.,4.6,MEDIUM,PHYSICAL,LOW,NONE,NONE,0.9,3.6,Primary,NVD-CWE-noinfo,True,0,0,1,,,,
4,"Eavesdropping, Information Disclosure or Man-in-the-Middle (MitM) Attack on Vehicle Communication",0,CVE-2020-7339,"An attacker intercepts or alters the communication between the FZS Steuergerät and other components (e.g., sensors, other ECUs) using the FlexRay or Ethernet communication protocols.","Attackers could intercept or manipulate the data transmitted over these communication channels, potentially leading to unauthorized control over the dynamic behavior of the vehicle.",0,Use of a Broken or Risky Cryptographic Algorithm vulnerability in McAfee Database Security Server and Sensor prior to 4.8.0 in the form of a SHA1 signed certificate that would allow an attacker on the same local network to potentially intercept communication between the Server and Sensors.,6.3,MEDIUM,ADJACENT_NETWORK,LOW,NONE,NONE,2.8,3.4,Secondary,CWE-327,True,1,1,1,,,,
5,Vulnerability in the ECU Firmware or Software,0,CVE-2024-9991,"Exploitation of vulnerabilities within the firmware or software running on the FZS Steuergerät, leading to the possibility of arbitrary code execution or buffer overflow attacks.","An attacker could execute arbitrary code within the ECU, potentially altering the behavior of the vehicle, sensor fusion logic, or control algorithms for vehicle dynamics.",0,,,,,,,,,,,,,,,,,,,
6,Physical Attack on the ECU or Sensor Modules,0,CVE-2023-29389,"An attacker physically damages or tampers with the FZS Steuergerät or the associated sensors, such as IMUs or GNSS receivers, leading to the loss of critical functionality for vehicle dynamics estimation.","Disruption of sensor inputs could lead to incorrect or uncalibrated data being used, leading to faulty vehicle control.",0,"Toyota RAV4 2021 vehicles automatically trust messages from other ECUs on a CAN bus, which allows physically proximate attackers to drive a vehicle by accessing the control CAN bus after pulling the bumper away and reaching the headlight connector, and then sending forged ""Key is validated"" messages via CAN Injection, as exploited in the wild in (for example) July 2022.",6.8,MEDIUM,PHYSICAL,LOW,NONE,NONE,0.9,5.9,Primary,CWE-74,True,1,1,1,,,,
6,Physical Attack on the ECU or Sensor Modules,0,CVE-2023-29389,"An attacker physically damages or tampers with the FZS Steuergerät or the associated sensors, such as IMUs or GNSS receivers, leading to the loss of critical functionality for vehicle dynamics estimation.","Disruption of sensor inputs could lead to incorrect or uncalibrated data being used, leading to faulty vehicle control.",0,"Toyota RAV4 2021 vehicles automatically trust messages from other ECUs on a CAN bus, which allows physically proximate attackers to drive a vehicle by accessing the control CAN bus after pulling the bumper away and reaching the headlight connector, and then sending forged ""Key is validated"" messages via CAN Injection, as exploited in the wild in (for example) July 2022.",6.8,MEDIUM,PHYSICAL,LOW,NONE,NONE,0.9,5.9,Primary,CWE-74,True,1,1,1,,,,
7,Exploitation of Communication Protocols (FlexRay/Ethernet),0,CVE-2020-1982,An attacker exploits weaknesses in the FlexRay or Ethernet communication protocols to send malformed or malicious messages to the FZS Steuergerät.,"Malformed messages could cause unexpected behavior in the vehicle’s control system, including altering the behavior of the FZS Steuergerät or other ECUs that rely on this data.",0,"Certain communication between PAN-OS and cloud-delivered services inadvertently use TLS 1.0, which is known to be a cryptographically weak protocol. These cloud services include Cortex Data Lake, the Customer Support Portal, and the Prisma Access infrastructure. Conditions required for exploitation of known TLS 1.0 weaknesses do not exist for the communication between PAN-OS and cloud-delivered services. We do not believe that any communication is impacted as a result of known attacks against TLS 1.0. This issue impacts: All versions of PAN-OS 8.0; PAN-OS 8.1 versions earlier than PAN-OS 8.1.14; PAN-OS 9.0 versions earlier than PAN-OS 9.0.9; PAN-OS 9.1 versions earlier than PAN-OS 9.1.3. PAN-OS 7.1 is not impacted by this issue.",4.8,MEDIUM,NETWORK,HIGH,NONE,NONE,2.2,2.5,Secondary,CWE-326,True,1,1,0,,,,
7,Exploitation of Communication Protocols (FlexRay/Ethernet),0,CVE-2020-1982,An attacker exploits weaknesses in the FlexRay or Ethernet communication protocols to send malformed or malicious messages to the FZS Steuergerät.,"Malformed messages could cause unexpected behavior in the vehicle’s control system, including altering the behavior of the FZS Steuergerät or other ECUs that rely on this data.",0,"Certain communication between PAN-OS and cloud-delivered services inadvertently use TLS 1.0, which is known to be a cryptographically weak protocol. These cloud services include Cortex Data Lake, the Customer Support Portal, and the Prisma Access infrastructure. Conditions required for exploitation of known TLS 1.0 weaknesses do not exist for the communication between PAN-OS and cloud-delivered services. We do not believe that any communication is impacted as a result of known attacks against TLS 1.0. This issue impacts: All versions of PAN-OS 8.0; PAN-OS 8.1 versions earlier than PAN-OS 8.1.14; PAN-OS 9.0 versions earlier than PAN-OS 9.0.9; PAN-OS 9.1 versions earlier than PAN-OS 9.1.3. PAN-OS 7.1 is not impacted by this issue.",4.8,MEDIUM,NETWORK,HIGH,NONE,NONE,2.2,2.5,Secondary,CWE-326,True,1,1,0,,,,
